latitude,longitude,lease_term,price,beds,baths,sq_feet,furnishing,smoking,cats,dogs,location_freq,type_apartment,type_basement,type_duplex,type_house,type_other,type_townhouse,availability_days
51.2496146,-114.030942,12.0,2500.0,3.0,2.5,1458.0,0,0,1,1,128.0,0,0,0,0,0,1,47
51.249266,-114.0303033,12.0,2300.0,2.0,2.5,1265.0,0,0,0,0,128.0,0,0,0,0,0,1,61
51.262799020674,-114.030842329053,12.0,1800.0,2.0,1.5,1000.0,0,0,0,0,128.0,0,1,0,0,0,0,61
51.3027908,-114.039872,12.0,2600.0,3.0,2.5,1560.0,0,0,0,0,128.0,0,0,0,1,0,0,61
51.2588911,-113.9886729,6.0,850.0,1.0,1.0,805.0,1,0,0,0,128.0,1,0,0,0,0,0,61
51.2873106,-114.024711,12.0,1950.0,2.0,2.0,805.0,0,0,1,0,128.0,1,0,0,0,0,0,61
51.250055267921,-114.034777569312,12.0,2400.0,2.0,2.5,1500.0,0,0,1,1,128.0,0,0,0,0,0,1,61
51.2739826,-113.9929094,12.0,1895.0,3.0,1.5,1150.0,0,0,1,1,128.0,0,0,0,1,0,0,67
51.2673976,-114.0127916,12.0,1500.0,1.0,1.0,900.0,0,0,0,0,128.0,0,1,0,0,0,0,75
51.2523335,-114.0253997,12.0,1995.0,2.0,1.5,1100.0,0,0,1,1,128.0,0,0,0,0,0,1,92
51.256201508537,-114.024852558752,12.0,3500.0,3.0,2.5,2088.0,1,0,0,0,128.0,0,0,0,1,0,0,90
51.253532716265,-114.031680869312,3.0,5500.0,3.0,2.5,2200.0,1,0,0,0,128.0,0,0,0,1,0,0,90
51.2702975,-114.0298864,12.0,2095.0,2.0,2.0,960.0,0,0,1,1,128.0,1,0,0,0,0,0,90
51.289525097678,-114.020054834918,12.0,1800.0,2.0,2.0,907.0,0,0,0,0,128.0,1,0,0,0,0,0,90
51.289525097678,-114.020054834918,12.0,1850.0,1.0,2.0,1079.0,0,0,0,0,128.0,1,0,0,0,0,0,90
51.289525097678,-114.020054834918,12.0,1600.0,1.0,1.0,648.0,0,0,0,0,128.0,1,0,0,0,0,0,90
50.71943,-113.90682,12.0,3050.0,3.0,2.0,1520.0,0,0,0,1,3.0,0,0,0,1,0,0,0
50.7462032,-113.900507,6.0,3000.0,2.0,1.0,805.0,0,0,0,0,3.0,0,0,0,0,1,0,0
